file_name,#timeframe,#clause,#total_calls,#ctg,result,time
6s398b09.aig,NA,NA,NA,NA,NA,timeout
6s398b16.aig,NA,NA,NA,NA,NA,timeout
6s399b02.aig,NA,NA,NA,NA,NA,timeout
6s399b03.aig,NA,NA,NA,NA,NA,timeout
6s39.aig,NA,NA,NA,NA,NA,timeout
6s401rb051.aig,NA,NA,NA,NA,NA,timeout
6s402rb0342.aig,NA,NA,NA,NA,NA,timeout
6s404rb1.aig,NA,NA,NA,NA,NA,timeout
6s405rb611.aig,4,67,|1,384|,124,HOLDS,26.24
6s406rb067.aig,6,21,527,42,HOLDS,17.49
6s406rb111.aig,NA,NA,NA,NA,NA,timeout
6s407rb296.aig,10,903,|38,225|,2427,HOLDS,534.27
6s410rb043.aig,6,374,|11,067|,879,HOLDS,151.73
6s413b398.aig,NA,NA,NA,NA,NA,timeout
6s421rb083.aig,3,66,|1,518|,182,HOLDS,0.91
6s43.aig,22,17535,|721,943|,28647,HOLDS,436.50
6s44.aig,NA,NA,NA,NA,NA,timeout
6s45.aig,NA,NA,NA,NA,NA,timeout
6s48p1.aig,NA,NA,NA,NA,NA,timeout
6s514r.aig,NA,NA,NA,NA,NA,timeout
6s516r.aig,NA,NA,NA,NA,NA,timeout
6s517rb0.aig,NA,NA,NA,NA,NA,timeout
6s52.aig,314,31874,|5,641,725|,283261,HOLDS,1000.16
6s54.aig,NA,NA,NA,NA,NA,timeout
6s7.aig,NA,NA,NA,NA,NA,timeout
bc57sensorsp0.aig,75,5424,|364,651|,27845,FAILED,49.38
bc57sensorsp1.aig,70,6299,|392,845|,29885,FAILED,59.72
bc57sensorsp1neg.aig,81,6789,|430,336|,30391,FAILED,67.55
beemandrsn4b1.aig,NA,NA,NA,NA,NA,timeout
beembkry8b1.aig,NA,NA,NA,NA,NA,timeout
beembrptwo3b2.aig,NA,NA,NA,NA,NA,timeout
beembrptwo6b1.aig,46,4656,|391,671|,32855,FAILED,135.82
beemcmbrdg7f2.aig,NA,NA,NA,NA,NA,timeout
beemcycschd3b1.aig,5,10,532,35,HOLDS,0.25
beemelev1f1.aig,5,22,562,51,HOLDS,0.15
beemelev2f1.aig,4,23,469,34,HOLDS,0.10
beemextnc1b1.aig,NA,NA,NA,NA,NA,timeout
beemextnc1f1.aig,NA,NA,NA,NA,NA,timeout
beemextnc3f1.aig,NA,NA,NA,NA,NA,timeout
beemfrogs4f1.aig,13,23094,|747,620|,46788,FAILED,509.91
beemfwt2b2.aig,NA,NA,NA,NA,NA,timeout
beemfwt3f3.aig,23,3239,|230,877|,17022,HOLDS,498.49
beemfwt4b1.aig,NA,NA,NA,NA,NA,timeout
beemfwt5b1.aig,NA,NA,NA,NA,NA,timeout
beemfwt5b3.aig,NA,NA,NA,NA,NA,timeout
beemhanoi4b1.aig,NA,NA,NA,NA,NA,timeout
beemkrebs4b1.aig,NA,NA,NA,NA,NA,timeout
beemlann2f1.aig,31,5098,|229,818|,16835,HOLDS,24.55
beemldfilt3f1.aig,NA,NA,NA,NA,NA,timeout
beemldfilt7b1.aig,NA,NA,NA,NA,NA,timeout
beemlifts2b1.aig,NA,NA,NA,NA,NA,timeout
beemlifts3b1.aig,NA,NA,NA,NA,NA,timeout
beemlmprt8f1.aig,13,14490,|843,033|,125046,FAILED,164.20
beemloyd3b1.aig,NA,NA,NA,NA,NA,timeout
beemlup1b1.aig,1,2,23,0,HOLDS,0.04
